date,death
2013-08-17,72
2013-08-18,65
2013-08-19,78
2013-08-20,78
2013-08-21,1028
2013-08-22,152
2013-08-23,90
2013-08-24,114
2013-08-25,111
2013-08-26,133
2013-08-27,70
2013-08-28,55
2013-08-29,71
2013-08-30,74
2013-08-31,59
2013-09-01,161
2013-09-02,104
2013-09-03,75
2013-09-04,71
2013-09-05,88
2013-09-06,80
2013-09-07,92
2013-09-08,81
2013-09-09,69
2013-09-10,67
2013-09-11,85
2013-09-12,115
2013-09-13,79
2013-09-14,117
2013-09-15,91
2013-09-16,96
2013-09-17,87
2013-09-18,81
2013-09-19,117
2013-09-20,77
2013-09-21,95
2013-09-22,85
2013-09-23,55
2013-09-24,62
2013-09-25,89
2013-09-26,78
2013-09-27,138
2013-09-28,74
2013-09-29,82
2013-09-30,54
2013-10-01,85
2013-10-02,73
2013-10-03,54
2013-10-04,78
2013-10-05,60
2013-10-06,110
2013-10-07,84
2013-10-08,85
2013-10-09,100
2013-10-10,97
2013-10-11,107
2013-10-12,117
2013-10-13,87
2013-10-14,134
2013-10-15,99
2013-10-16,56
2013-10-17,75
2013-10-18,42
2013-10-19,67
2013-10-20,75
2013-10-21,80
2013-10-22,68
2013-10-23,99
2013-10-24,56
2013-10-25,281
2013-10-26,70
2013-10-27,73
2013-10-28,50
2013-10-29,61
2013-10-30,65
2013-10-31,81
2013-11-01,87
2013-11-02,57
2013-11-03,44
2013-11-04,92
2013-11-05,49
2013-11-06,63
2013-11-07,55
2013-11-08,96
2013-11-09,75
2013-11-10,54
2013-11-11,88
2013-11-12,80
2013-11-13,72
2013-11-14,104
2013-11-15,92
2013-11-16,64
2013-11-17,55
2013-11-18,70
2013-11-19,52
2013-11-20,54
2013-11-21,63
2013-11-22,100
2013-11-23,130
2013-11-24,74
2013-11-25,35
